/pmos/D (vsg_p=0) X,/pmos/D (vsg_p=0) Y,/pmos/D (vsg_p=0.2) X,/pmos/D (vsg_p=0.2) Y,/pmos/D (vsg_p=0.4) X,/pmos/D (vsg_p=0.4) Y,/pmos/D (vsg_p=0.8) X,/pmos/D (vsg_p=0.8) Y,/pmos/D (vsg_p=1) X,/pmos/D (vsg_p=1) Y,/pmos/D (vsg_p=0.6) X,/pmos/D (vsg_p=0.6) Y
0.4000000000000002,-1.362077226280425e-08,0.4000000000000002,-1.107729438905276e-06,0.4000000000000002,-3.790195267783313e-05,0.4000000000000002,-0.0005880146836887951,0.4000000000000002,-0.0009486923077660964,0.4000000000000002,-0.0002479780354056753
0.4100000000000002,-1.414846330556201e-08,0.4100000000000002,-1.146139971897632e-06,0.4100000000000002,-3.883452402195161e-05,0.4100000000000002,-0.0005949753518972446,0.4100000000000002,-0.0009609272699543467,0.4100000000000002,-0.0002515437395095715
0.4200000000000002,-1.469235276583129e-08,0.4200000000000002,-1.185551743842576e-06,0.4200000000000002,-3.977822721214414e-05,0.4200000000000002,-0.000601843157742694,0.4200000000000002,-0.0009728324408443133,0.4200000000000002,-0.0002551024188277584
0.4300000000000002,-1.525285944496837e-08,0.4300000000000002,-1.225985399241137e-06,0.4300000000000002,-4.073307524450631e-05,0.4300000000000002,-0.0006086252672220031,0.4300000000000002,-0.0009844325258139323,0.4300000000000002,-0.0002586546465105456
0.4400000000000002,-1.583041318691822e-08,0.4400000000000002,-1.267461986132205e-06,0.4400000000000002,-4.169908135498913e-05,0.4400000000000002,-0.0006153278881646756,0.4400000000000002,-0.0009957508751777203,0.4400000000000002,-0.0002622009435868338
0.4500000000000002,-1.642545521307124e-08,0.4500000000000002,-1.310002965817175e-06,0.4500000000000002,-4.2676259142079e-05,0.4500000000000002,-0.000621956440349887,0.4500000000000002,-0.00100680919665297,0.4500000000000002,-0.000265741787225592
0.4600000000000002,-1.703843846073844e-08,0.4600000000000002,-1.353630222237138e-06,0.4600000000000002,-4.366462265620643e-05,0.4600000000000002,-0.000628515692996449,0.4600000000000002,-0.001017627400971162,0.4600000000000002,-0.000269277617390413
0.4700000000000003,-1.766982792577793e-08,0.4700000000000003,-1.398366071038993e-06,0.4700000000000003,-4.466418646637232e-05,0.4700000000000003,-0.0006350098753884745,0.4700000000000003,-0.001028223564717078,0.4700000000000003,-0.000272808842236641
0.4800000000000003,-1.832010100984613e-08,0.4800000000000003,-1.44423326836038e-06,0.4800000000000003,-4.567496570845119e-05,0.4800000000000003,-0.0006414427657893626,0.4800000000000003,-0.001038613983329032,0.4800000000000003,-0.0002763358425174793
0.4900000000000003,-1.898974787269316e-08,0.4900000000000003,-1.49125501935783e-06,0.4900000000000003,-4.669697611815818e-05,0.4900000000000003,-0.0006478177630076932,0.4900000000000003,-0.001048813284416944,0.4900000000000003,-0.0002798589752036486
0.5000000000000002,-1.967927178988818e-08,0.5000000000000002,-1.539454986498351e-06,0.5000000000000002,-4.773023405101364e-05,0.5000000000000002,-0.0006541379441898523,0.5000000000000002,-0.001058834574663118,0.5000000000000002,-0.0002833785764747132
0.5100000000000002,-2.038918951632796e-08,0.5100000000000002,-1.588857297631601e-06,0.5100000000000002,-4.877475649122797e-05,0.5100000000000002,-0.0006604061117077697,0.5100000000000002,-0.001068689599558188,0.5100000000000002,-0.0002868949642051591
0.5200000000000002,-2.112003165586345e-08,0.5200000000000002,-1.639486553856711e-06,0.5200000000000002,-4.983056105112532e-05,0.5200000000000002,-0.0006666248314137475,0.5200000000000002,-0.001078388901721148,0.5200000000000002,-0.0002904084400416993
0.5300000000000002,-2.18723430373597e-08,0.5300000000000002,-1.691367837195824e-06,0.5300000000000002,-5.089766596249306e-05,0.5300000000000002,-0.0006727964640483766,0.5300000000000002,-0.001087941969185977,0.5300000000000002,-0.0002939192911479019
