/pmos/D (vsd_p=0) X,/pmos/D (vsd_p=0) Y,/pmos/D (vsd_p=0.2) X,/pmos/D (vsd_p=0.2) Y,/pmos/D (vsd_p=0.4) X,/pmos/D (vsd_p=0.4) Y,/pmos/D (vsd_p=0.6) X,/pmos/D (vsd_p=0.6) Y,/pmos/D (vsd_p=0.8) X,/pmos/D (vsd_p=0.8) Y,/pmos/D (vsd_p=1) X,/pmos/D (vsd_p=1) Y
0.4100000000000002,6.316985700341979e-10,0.4100000000000002,-2.50172824893662e-05,0.4100000000000002,-4.337537718103282e-05,0.4100000000000002,-6.628462559544722e-05,0.4100000000000002,-9.383297968298277e-05,0.4100000000000002,-0.0001261411873141209
0.4200000000000002,6.714336744735039e-10,0.4200000000000002,-2.889382719341498e-05,0.4200000000000002,-4.939354297772143e-05,0.4200000000000002,-7.451167513317837e-05,0.4200000000000002,-0.0001042778280577472,0.4200000000000002,-0.0001387690369526094
0.4300000000000002,7.126563781377644e-10,0.4300000000000002,-3.320286345174881e-05,0.4300000000000002,-5.596948533487108e-05,0.4300000000000002,-8.336935466127545e-05,0.4300000000000002,-0.0001153866561539442,0.4300000000000002,-0.0001520644250747766
0.4400000000000002,7.55390986043788e-10,0.4400000000000002,-3.796014445142388e-05,0.4400000000000002,-6.311173122663655e-05,0.4400000000000002,-9.285602032996782e-05,0.4400000000000002,-0.0001271485976224381,0.4400000000000002,-0.0001660094394209402
0.4500000000000002,7.996637639654126e-10,0.4500000000000002,-4.317730866750506e-05,0.4500000000000002,-7.082436308949537e-05,0.4500000000000002,-0.0001029660064758083,0.4500000000000002,-0.0001395497044389897,0.4500000000000002,-0.0001805841775887659
0.4600000000000002,8.455026039672154e-10,0.4600000000000002,-4.886166401898279e-05,0.4600000000000002,-7.910721131386774e-05,0.4600000000000002,-0.0001136900589315974,0.4600000000000002,-0.0001525734627939549,0.4600000000000002,-0.0001957672315870453
0.4700000000000003,8.929367235873704e-10,0.4700000000000003,-5.501610936937023e-05,0.4700000000000003,-8.795615065757132e-05,0.4700000000000003,-0.0001250158081273812,0.4700000000000003,-0.0001662012960622322,0.4700000000000003,-0.0002115361291806636
0.4800000000000003,9.419964039450154e-10,0.4800000000000003,-6.163918100532015e-05,0.4800000000000003,-9.736347375509734e-05,0.4800000000000003,-0.0001369282574085683,0.4800000000000003,-0.0001804130396282121,0.4800000000000003,-0.0002278677262406542
0.4900000000000003,9.927127681781265e-10,0.4900000000000003,-6.872520542031226e-05,0.4900000000000003,-0.0001073183151524662,0.4900000000000003,-0.0001494102660022226,0.4900000000000003,-0.0001951873768623245,0.4900000000000003,-0.0002447385476674213
0.5000000000000002,1.045117598920277e-09,0.5000000000000002,-7.626453631167019e-05,0.5000000000000002,-0.0001178071013308584,0.5000000000000002,-0.0001624430104842612,0.5000000000000002,-0.0002105022295920406,0.5000000000000002,-0.0002621250770870452
0.5100000000000002,1.099243192243758e-09,0.5100000000000002,-8.424385310292771e-05,0.5100000000000002,-0.0001288140054721876,0.5100000000000002,-0.0001760064129825093,0.5100000000000002,-0.0002263350998239758,0.5100000000000002,-0.0002800039974656519
0.5200000000000002,1.155122244644314e-09,0.5200000000000002,-9.264650018887028e-05,0.5200000000000002,-0.0001403213896783258,0.5200000000000002,-0.0001900795283740272,0.5200000000000002,-0.0002426633621993604,0.5200000000000002,-0.00029835238612195
0.5300000000000002,1.212787769269062e-09,0.5300000000000002,-0.0001014528499351579,0.5300000000000002,-0.0001523102214941133,0.5300000000000002,-0.0002046408862076578,0.5300000000000002,-0.0002594645087197307,0.5300000000000002,-0.0003171478684406097
0.5400000000000003,1.272273037477205e-09,0.5400000000000003,-0.0001106406775776429,0.5400000000000003,-0.0001647604555375761,0.5400000000000003,-0.0002196687859173659,0.5400000000000003,-0.0002767163487266867,0.5400000000000003,-0.0003363687350012731
0.5500000000000003,1.333611541890039e-09,0.5500000000000003,-0.0001201855417670915,0.5500000000000003,-0.0001776513745680357,0.5500000000000003,-0.0002351415460805875,0.5500000000000003,-0.0002943971680474591,0.5500000000000003,-0.000355994026937109
0.5600000000000003,1.396836977273951e-09,0.5600000000000003,-0.0001300611696858068,0.5600000000000003,-0.0001909618872922327,0.5600000000000003,-0.0002510377100634077,0.5600000000000003,-0.0003124858517240868,0.5600000000000003,-0.0003760035942092504
0.5700000000000003,1.461983235868313e-09,0.5700000000000003,-0.0001402398494402509,0.5700000000000003,-0.00020467078257492,0.5700000000000003,-0.0002673362114567376,0.5700000000000003,-0.0003309619749231027,0.5700000000000003,-0.0003963781312019548
0.5800000000000003,1.529084414090331e-09,0.5800000000000003,-0.0001506928338809681,0.5800000000000003,-0.0002187569415004853,0.5800000000000003,-0.0002840165033341746,0.5800000000000003,-0.0003498058665608082,0.5800000000000003,-0.0004170991936666842
0.5900000000000003,1.598174827898955e-09,0.5900000000000003,-0.0001613907585017957,0.5900000000000003,-0.0002331995099823659,0.5900000000000003,-0.0003010586556413249,0.5900000000000003,-0.000368998649950096,0.5900000000000003,-0.0004381492006168704
0.6000000000000003,1.669289034461094e-09,0.6000000000000003,-0.0001723040716487345,0.6000000000000003,-0.0002479780354150559,0.6000000000000003,-0.000318443425018778,0.6000000000000003,-0.0003885222644384902,0.6000000000000003,-0.0004595114243325444
0.6100000000000003,1.742461858121644e-09,0.6100000000000003,-0.0001834034688379359,0.6100000000000003,-0.0002630725712942735,0.6100000000000003,-0.0003361523010374215,0.6100000000000003,-0.0004083594716108329,0.6100000000000003,-0.0004811699711992
0.6200000000000003,1.817728419021343e-09,0.6200000000000003,-0.0001946603163008545,0.6200000000000003,-0.0002784637538773516,0.6200000000000003,-0.0003541675333953157,0.6200000000000003,-0.0004284938492092956,0.6200000000000003,-0.0005031097556941224
0.6300000000000003,1.895124163025025e-09,0.6300000000000003,-0.0002060470440834019,0.6300000000000003,-0.000294132854893116,0.6300000000000003,-0.0003724721439222509,0.6300000000000003,-0.0004489097755037305,0.6300000000000003,-0.0005253164694556033
