/nmos/D (vds_n=0) X,/nmos/D (vds_n=0) Y,/nmos/D (vds_n=0.2) X,/nmos/D (vds_n=0.2) Y,/nmos/D (vds_n=0.4) X,/nmos/D (vds_n=0.4) Y,/nmos/D (vds_n=0.8) X,/nmos/D (vds_n=0.8) Y,/nmos/D (vds_n=1) X,/nmos/D (vds_n=1) Y,/nmos/D (vds_n=0.6) X,/nmos/D (vds_n=0.6) Y
0.4600000000000002,-6.312421056985951e-10,0.4600000000000002,0.000133058564441074,0.4600000000000002,0.0001921899263118369,0.4600000000000002,0.00032203887602772,0.4600000000000002,0.0003938196381851631,0.4600000000000002,0.0002546848465864729
0.4700000000000003,-6.780348786390427e-10,0.4700000000000003,0.0001504480871767395,0.4700000000000003,0.0002149060661976259,0.4700000000000003,0.0003530804317469318,0.4700000000000003,0.0004283257183748815,0.4700000000000003,0.0002818200572096899
0.4800000000000003,-7.273117512689974e-10,0.4800000000000003,0.0001690365213837468,0.4800000000000003,0.0002389528069955918,0.4800000000000003,0.0003853985658075623,0.4800000000000003,0.0004640369892432948,0.4800000000000003,0.0003102827124938291
0.4900000000000003,-7.79162024804635e-10,0.4900000000000003,0.00018877552172739,0.4900000000000003,0.0002642735088584797,0.4900000000000003,0.0004189301468964092,0.4900000000000003,0.0005008932515400577,0.4900000000000003,0.0003400102525377318
0.5000000000000002,-8.336797418281555e-10,0.5000000000000002,0.0002096110949549689,0.5000000000000002,0.0002908095212634921,0.5000000000000002,0.000453614423746404,0.5000000000000002,0.0005388373611000733,0.5000000000000002,0.000370940856623965
0.5100000000000002,-8.909636116823308e-10,0.5100000000000002,0.0002314857901768292,0.5100000000000002,0.0003185018404877934,0.5100000000000002,0.0004893934016222142,0.5100000000000002,0.0005778152113785108,0.5100000000000002,0.000403014407291773
0.5200000000000002,-9.511170344783057e-10,0.5200000000000002,0.0002543404703724652,0.5200000000000002,0.0003472923078714409,0.5200000000000002,0.0005262119685088872,0.5200000000000002,0.0006177755840459975,0.5200000000000002,0.0004361730771621574
0.5300000000000002,-1.014248196219716e-09,0.5300000000000002,0.000278115652574363,0.5300000000000002,0.0003771244050580373,0.5300000000000002,0.0005640178475507658,0.5300000000000002,0.0006586699240829483,0.5300000000000002,0.000470361620937803
0.5400000000000003,-1.080470207530016e-09,0.5400000000000003,0.0003027524497984501,0.5400000000000003,0.000407943720126139,0.5400000000000003,0.0006027614397260235,0.5400000000000003,0.0007004520817842828,0.5400000000000003,0.0005055274520065623
0.5500000000000003,-1.149901262819912e-09,0.5500000000000003,0.0003281931743611468,0.5500000000000003,0.0004396981621937741,0.5500000000000003,0.0006423956068348611,0.5500000000000003,0.0007430780515044616,0.5500000000000003,0.0005416205733088782
0.5600000000000003,-1.222664802863911e-09,0.5600000000000003,0.0003543816731008241,0.5600000000000003,0.000472337996523593,0.5600000000000003,0.0006828754316087753,0.5600000000000003,0.00078650572650996,0.5600000000000003,0.000578593419289782
0.5700000000000003,-1.298889669952928e-09,0.5700000000000003,0.0003812634646746364,0.5700000000000003,0.0005058157615570591,0.5700000000000003,0.0007241579802054596,0.5700000000000003,0.0008306946811239773,0.5700000000000003,0.0006164006524277604
0.5800000000000003,-1.378710250098361e-09,0.5800000000000003,0.00040878574184736,0.5800000000000003,0.000540086116806301,0.5800000000000003,0.0007662020829831268,0.5800000000000003,0.0008756059853029617,0.5800000000000003,0.0006549989455933602
0.5900000000000003,-1.46226660079307e-09,0.5900000000000003,0.000436897291039146,0.5900000000000003,0.000575105658218062,0.5900000000000003,0.0008089681422743355,0.5900000000000003,0.0009212020525746686,0.5900000000000003,0.0006943467711348527
0.6000000000000003,-1.549704565564956e-09,0.6000000000000003,0.0004655483698564975,0.6000000000000003,0.0006108327266925468,0.6000000000000003,0.0008524179706881706,0.6000000000000003,0.0009674465195387402,0.6000000000000003,0.0007344042093689607
0.6100000000000003,-1.641175878165262e-09,0.6100000000000003,0.0004946905724592138,0.6100000000000003,0.0006472272264265494,0.6100000000000003,0.0008965146599383137,0.6100000000000003,0.001014304153533974,0.6100000000000003,0.0007751327829820123
0.6200000000000003,-1.736838259972161e-09,0.6200000000000003,0.0005242767032333863,0.6200000000000003,0.000684250462755354,0.6200000000000003,0.0009412224779724573,0.6200000000000003,0.00106174078430437,0.6200000000000003,0.0008164953193988526
0.6300000000000003,-1.836855514319522e-09,0.6300000000000003,0.0005542606716397809,0.6300000000000003,0.0007218650040348393,0.6300000000000003,0.000986506790940121,0.6300000000000003,0.001109723255292992,0.6300000000000003,0.0008584558405150406
0.6400000000000003,-1.941397621205596e-09,0.6400000000000003,0.0005845974152528963,0.6400000000000003,0.0007600345685536013,0.6400000000000003,0.001032334005998847,0.6400000000000003,0.0011582193903593,0.6400000000000003,0.0009009794781307541
0.6500000000000004,-2.050640835371254e-09,0.6500000000000004,0.0006152428536873944,0.6500000000000004,0.0007987239351761677,0.6500000000000004,0.001078671530896775,0.6500000000000004,0.001207197972101416,0.6500000000000004,0.0009440324097861969
0.6600000000000004,-2.164767790187965e-09,0.6600000000000004,0.0006461538730457587,0.6600000000000004,0.0008378988750871708,0.6600000000000004,0.001125487746506805,0.6600000000000004,0.001256628728462012,0.6600000000000004,0.0009875818123584812
0.6700000000000004,-2.283967609242974e-09,0.6700000000000004,0.0006772883384310665,0.6700000000000004,0.0008775261013666226,0.6700000000000004,0.001172751988895424,0.6700000000000004,0.001306482324831152,0.6700000000000004,0.001031595829890341
0.6800000000000004,-2.408436027002974e-09,0.6800000000000004,0.0007086051307063447,0.6800000000000004,0.0009175732329600416,0.6800000000000004,0.001220434537995846,0.6800000000000004,0.00135673035938322,0.6800000000000004,0.001076043551932789
0.6900000000000004,-2.538375519501547e-09,0.6900000000000004,0.000740064202851348,0.6900000000000004,0.0009580087697456344,0.6900000000000004,0.001268506610459484,0.6900000000000004,0.001407345359869258,0.6900000000000004,0.001120894999424196
0.7000000000000004,-2.673995445638621e-09,0.7000000000000004,0.0007716266508292244,0.7000000000000004,0.0009988020757177706,0.7000000000000004,0.001316940354742796,0.7000000000000004,0.001458300780514798,0.7000000000000004,0.001166121115574769
0.7100000000000004,-2.81551219939987e-09,0.7100000000000004,0.000803254793735058,0.7100000000000004,0.001039923367712137,0.7100000000000004,0.001365708846925145,0.7100000000000004,0.001509570998041268,0.7100000000000004,0.001211693759685982
0.7200000000000004,-2.963149373093425e-09,0.7200000000000004,0.0008349122580986386,0.7200000000000004,0.001081343707532272,0.7200000000000004,0.001414786086137592,0.7200000000000004,0.001561131306135705,0.7200000000000004,0.00125758570227148
0.7300000000000004,-3.117137931550181e-09,0.7300000000000004,0.0008665640615185667,0.7300000000000004,0.001123034995760552,0.7300000000000004,0.001464146988807428,0.7300000000000004,0.001612957907942777,0.7300000000000004,0.001303770620237471
0.7400000000000004,-3.277716397132083e-09,0.7400000000000004,0.0008981766912879306,0.7400000000000004,0.001164969965925415,0.7400000000000004,0.0015137673811919,0.7400000000000004,0.001665027906350799,0.7400000000000004,0.001350223091218569
0.7500000000000004,-3.445131045329011e-09,0.7500000000000004,0.0009297181743057335,0.7500000000000004,0.001207122178039335,0.7500000000000004,0.001563623989890207,0.7500000000000004,0.001717319291996099,0.7500000000000004,0.0013969185864486
0.7600000000000005,-3.619636110692346e-09,0.7600000000000005,0.0009611581353184518,0.7600000000000005,0.001249466010813648,0.7600000000000005,0.001613694430191815,0.7600000000000005,0.001769810929024658,0.7600000000000005,0.001443833461776559
0.7700000000000005,-3.801494002841496e-09,0.7700000000000005,0.000992467841359255,0.7700000000000005,0.001291976652097806,0.7700000000000005,0.001663957192247915,0.7700000000000005,0.001822482538732359,0.7700000000000005,0.001490944946621579
0.7800000000000005,-3.990975532285239e-09,0.7800000000000005,0.001023620231097771,0.7800000000000005,0.001334630087285165,0.7800000000000005,0.001714391625147081,0.7800000000000005,0.001875314681262415,0.7800000000000005,0.001538231130802554
0.7900000000000005,-4.188360145815599e-09,0.7900000000000005,0.001054589928628759,0.7900000000000005,0.001377403085579943,0.7900000000000005,0.001764977919040511,0.7900000000000005,0.001928288735574367,0.7900000000000005,0.001585670949284446
0.8000000000000005,-4.393936171255325e-09,0.8000000000000005,0.001085353241965462,0.8000000000000005,0.001420273184136493,0.8000000000000005,0.001815697085485718,0.8000000000000005,0.001981386877919371,0.8000000000000005,0.001633244164959955
0.8100000000000005,-4.60800107136787e-09,0.8100000000000005,0.001115888147124287,0.8100000000000005,0.001463218670167808,0.8100000000000005,0.001866530936093662,0.8100000000000005,0.002034592059063935,0.8100000000000005,0.001680931349637934
0.8200000000000005,-4.83086170676878e-09,0.8200000000000005,0.001146174259167591,0.8200000000000005,0.001506218561180947,0.8200000000000005,0.001917462060166803,0.8200000000000005,0.002087887980502677,0.8200000000000005,0.001728713863443138
